 	88658235
e	50497522
t	38338645
a	34200809
o	32764961
i	30614830
n	29193836
s	27591782
r	25980180
h	19650441
l	17790456
d	15607437
c	13306100
u	12402800
m	10438612
f	9168600
p	9021562
g	8795781
y	8271528
w	7737184
b	6427219
.	4729483
v	4600449
,	4323534
k	3448246
'	1935898
0	1198515
-	1127005
x	926410
1	891237
j	750336
9	629543
2	525137
q	440469
;	420176
z	415633
/	350348
5	328220
4	285080
3	279813
7	207210
8	198505
6	187678
=	45883
